volact,cntry,female,yrbrn,eduyrs,domicil,married,children,houseperson,wkhtot,church,sclmeet,social_trust,tolerance,self_realisation,solidarity,tvpol,tvtot,political_interest,trust_exe,trust_leg,trstep,stfdem,dweight
0,"AL",0,1973,8,4,1,1,0,8,5,7,24,5,5,5,2,6,3,3,4.5,0,4,.53249726
0,"AL",0,1977,12,4,1,0,0,70,6,6,24,5,5,5,2,7,3,3.5,3.5,9,8,1.3314776
1,"AL",0,1994,12,4,0,0,0,0,4,7,17,4,6,4,1,7,1,3.5,.5,5,1,1.6121184
1,"AL",0,1988,17,4,0,0,0,30,5,6,26,4,6,6,2,6,3,1,2,3,2,1.3312431
0,"AL",0,1968,12,4,1,1,0,0,1,7,18,5,4,4,2,6,1,3,.5,8,3,1.2090888
0,"AL",0,1965,12,1,1,1,0,,4,6,31,6,6,6,7,7,4,10,10,10,6,.43808628
0,"AL",1,1989,14,3,0,0,0,48,3,6,5,5,5,5,1,7,1,0,0,0,2,.14376799
1,"AL",1,1953,8,3,1,0,0,50,3,3,20,6,4,6,2,3,2,4.5,0,6,2,1.5814479
0,"AL",0,1991,12,4,0,0,0,0,3,7,28,4,6,6,4,7,2,7.5,10,10,10,1.3485408
1,"AL",0,1960,12,4,1,1,0,48,3,6,24,4,6,4,7,7,2,8,6.5,8,8,1.8640686
0,"AL",1,1963,8,1,1,1,0,9,1,2,15,4,5,6,1,5,2,4,2.5,7,3,2.6097074
0,"AL",1,1971,8,3,1,1,0,54,1,4,20,3,6,6,1,4,3,6,6,,8,.21565198
1,"AL",1,1971,12,1,1,1,0,0,2,7,25,5,5,5,2,2,1,2.5,0,8,1,.17381989
1,"AL",1,1991,9,3,1,0,0,0,5,4,22,5,5,5,1,2,3,5.5,3.5,10,5,.28969981
0,"AL",0,1966,8,4,1,1,0,0,2,3,17,5,5,5,4,3,3,0,1.5,8,0,1.6121184
0,"AL",0,1989,8,4,0,0,0,,3,5,23,5,5,5,1,4,3,.5,1,8,0,2.015148
0,"AL",1,1991,8,4,0,0,0,0,1,2,3,2,4,5,0,2,1,.5,0,1,0,2.015148
0,"AL",1,1973,,,,1,0,0,1,3,11,,,,7,7,2,8,4,8,2,.79888656
0,"AL",1,1979,8,4,1,1,0,0,2,1,23,4,5,5,2,2,2,5,2,5,5,1.5977731
0,"AL",0,1992,8,4,0,0,0,60,1,6,25,4,4,6,2,5,1,4,0,7,6,1.1607153
0,"AL",1,1992,8,4,0,0,0,0,5,1,13,5,1,6,0,0,3,7.5,1.5,0,0,2.1747827
0,"AL",0,1973,12,4,1,1,0,40,1,6,23,5,6,6,3,1,3,2.5,0,10,7,1.2049924
1,"AL",1,1972,12,4,1,1,0,0,3,4,23,4,5,5,1,3,1,1.5,0,10,10,1.2049924
1,"AL",1,1967,8,4,1,1,0,0,3,5,3,5,4,5,1,2,1,2.5,2.5,8,5,1.1607153
0,"AL",0,1943,4,4,0,0,0,112,1,7,11,4,5,4,2,7,1,6.5,0,8,2,.80332823
1,"AL",0,1965,8,4,1,1,0,40,7,3,12,6,5,5,7,7,4,10,10,10,10,.53259104
0,"AL",1,1964,8,4,1,1,0,6,5,7,8,3,5,4,0,7,1,0,0,5,0,.81554352
1,"AL",1,1990,12,4,0,0,0,0,5,6,20,6,5,6,1,7,2,7.5,2.5,9,6,.7732551
0,"AL",1,1977,8,4,1,1,0,0,3,4,17,5,2,5,0,7,1,5,0,,0,1.1607153
0,"AL",1,1976,8,4,1,1,0,0,1,2,9,6,5,6,1,2,2,10,5.5,1,5,.53259104
0,"AL",1,1947,8,4,1,1,0,,4,4,12,5,5,5,2,3,4,10,10,10,,1.5476204
1,"AL",0,1961,16,4,1,1,0,45,2,7,13,4,6,6,2,3,3,5,5.5,10,2,1.6066565
0,"AL",0,1940,9,4,1,1,0,55,5,5,13,,5,5,6,7,3,5,0,10,5,1.0873914
